inscricao,idade,sexo,conclusao_ens_med,tipo_ens_med,treineiro,cadeira_canhoto,gestante,idoso,celular_na_residencia,internet_na_residencia,pessoas_na_residencia,renda_mensal_familiar,nota_ct,nota_ch,nota_lc,nota_mt,nota_redacao,estado,municipio,municipio_id
4562414,27,F,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,PE,OLINDA,2609600
710619,29,F,Concluído,1,0,0,0,0,1,A,3,998.00 até 1497.00,412.6,542.8,572.7,550.1,560.0,RS,SÃO BORJA,4318002
530634,29,M,Concluído,1,0,0,0,0,1,B,2,998.00 até 1497.00,,,,,,RJ,RIO DE JANEIRO,3304557
4639447,22,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,507.9,476.5,539.4,545.5,600.0,BA,SALVADOR,2927408
4194556,17,F,Cursando,1,1,0,0,0,1,B,2,998.00 até 1497.00,448.4,453.0,536.3,546.3,720.0,PB,CAMPINA GRANDE,2504009
1116202,17,M,Cursando,2,0,0,0,0,1,B,5,<= 998.00,,,,,,SP,SÃO PAULO,3550308
4130723,28,F,Concluído,1,0,0,0,0,1,B,3,1497.00 até 1996.00,,,,,,SP,SÃO PAULO,3550308
2400952,18,M,Cursando,2,0,0,0,0,1,B,5,<= 998.00,343.5,338.4,432.9,478.9,0.0,AL,PALMEIRA DOS ÍNDIOS,2706307
511909,22,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,454.7,469.9,504.9,402.3,540.0,ES,CACHOEIRO DE ITAPEMIRIM,3201209
2721743,27,F,Concluído,1,0,0,0,0,1,B,4,1996.00 até 2495.00,,580.9,519.9,,500.0,AL,RIO LARGO,2707701
4028915,20,F,Concluído,1,0,0,0,0,1,B,2,Nenhuma Renda,442.8,412.7,457.4,371.7,600.0,PE,JABOATÃO DOS GUARARAPES,2607901
779211,17,M,Cursando,3,0,0,0,0,1,B,4,6986.00 até 7984.00,483.8,563.9,574.5,619.7,640.0,GO,VALPARAÍSO DE GOIÁS,5221858
2202970,21,M,Concluído,1,0,0,0,0,1,B,3,Nenhuma Renda,428.2,502.4,458.1,631.6,580.0,PA,CAMETÁ,1502103
3925725,16,M,Cursando,1,1,0,0,0,1,A,4,Nenhuma Renda,504.7,431.6,545.3,560.2,300.0,MA,ARAGUANÃ,2100873
321855,19,F,Concluído,1,0,0,0,0,1,B,5,998.00 até 1497.00,420.0,485.4,501.8,420.0,640.0,MG,RIBEIRÃO DAS NEVES,3154606
1823270,18,F,Cursando,2,0,0,0,0,1,B,3,1996.00 até 2495.00,369.4,427.7,388.5,514.6,560.0,MG,PAINS,3146503
1837384,31,F,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,461.6,492.5,464.2,443.2,500.0,MG,DATAS,3121001
359619,16,F,Cursando,1,1,0,0,0,1,B,5,Nenhuma Renda,394.4,425.0,395.9,446.3,320.0,PE,PETROLINA,2611101
1105143,17,F,Cursando,3,0,0,0,0,1,B,4,5988.00 até 6986.00,526.1,573.7,537.4,487.5,560.0,SP,BARRETOS,3505500
928030,24,F,Concluído,1,0,0,0,0,1,B,7,998.00 até 1497.00,,,,,,CE,JUAZEIRO DO NORTE,2307304
4153669,17,M,Cursando,2,0,0,0,0,1,B,3,2994.00 até 3992.00,559.7,619.8,592.7,628.0,740.0,SP,FRANCO DA ROCHA,3516408
3846881,59,F,Concluído,1,0,0,0,0,0,A,3,998.00 até 1497.00,347.2,384.6,483.0,462.3,340.0,MT,RONDONÓPOLIS,5107602
895390,17,F,Cursando,3,0,0,0,0,1,B,4,9980.00 até 11976.00,511.5,411.2,559.3,508.0,600.0,PR,CURITIBA,4106902
1295680,18,F,Cursando,2,0,0,0,0,1,B,5,<= 998.00,375.7,464.4,482.8,532.8,400.0,SE,UMBAÚBA,2807600
1770663,30,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,462.4,533.3,516.1,487.4,620.0,PB,POMBAL,2512101
3224044,18,M,Concluído,1,0,0,0,0,1,B,3,3992.00 até 4990.00,516.3,614.9,545.0,703.2,560.0,SP,CERQUILHO,3511508
1908408,21,M,Concluído,1,0,0,0,0,1,B,5,998.00 até 1497.00,548.9,474.1,515.0,561.6,900.0,PE,GRAVATÁ,2606408
4123371,25,M,Concluído,1,0,0,0,0,1,A,4,Nenhuma Renda,,,,,,RJ,RIO DE JANEIRO,3304557
3701220,18,M,Cursando,2,0,0,0,0,1,B,3,1497.00 até 1996.00,533.4,514.0,546.2,651.5,740.0,RS,TRÊS PASSOS,4321907
511212,21,F,Concluído,1,0,0,0,0,1,A,4,<= 998.00,429.9,505.5,523.0,493.8,600.0,ES,VITÓRIA,3205309
3059289,22,F,Concluído,1,0,0,0,0,1,B,4,<= 998.00,481.0,381.4,423.9,466.6,620.0,GO,PLANALTINA,5217609
4628033,15,F,Cursando,1,1,0,0,0,1,B,2,998.00 até 1497.00,,,,,,PE,IPOJUCA,2607208
1545799,17,M,Cursando,2,0,0,0,0,1,B,4,998.00 até 1497.00,433.4,442.9,387.3,547.8,600.0,PE,RECIFE,2611606
3432554,18,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,,,,,,CE,FORTALEZA,2304400
1490940,20,F,Concluído,1,0,0,0,0,1,B,4,998.00 até 1497.00,415.2,437.5,499.6,418.7,500.0,SP,OSASCO,3534401
891519,25,F,Concluído,1,0,0,0,0,1,A,4,998.00 até 1497.00,,,,,,PR,CASTRO,4104907
4050442,18,M,Concluído,1,0,0,0,0,1,B,3,998.00 até 1497.00,448.8,515.1,506.4,630.3,720.0,PB,SÃO JOSÉ DO SABUGI,2514701
231295,20,F,Cursando,2,0,0,0,0,1,B,4,1996.00 até 2495.00,,,,,,BA,SANTO AMARO,2928604
4044120,22,F,Concluído,1,0,0,0,0,1,B,5,<= 998.00,456.7,345.6,488.1,524.1,620.0,PB,POÇO DANTAS,2512036
2375066,23,M,Concluído,1,0,0,0,0,1,B,7,2495.00 até 2994.00,453.0,457.3,518.6,479.1,540.0,PR,MARINGÁ,4115200
361299,17,F,Cursando,2,0,0,0,0,1,A,6,1996.00 até 2495.00,476.3,483.1,505.1,531.0,640.0,PE,IPOJUCA,2607208
5075254,15,F,Cursando,1,1,0,0,0,1,B,4,Nenhuma Renda,589.4,618.3,627.0,710.6,720.0,SP,SANTOS,3548500
4196590,28,F,Concluído,1,0,0,0,0,1,B,3,Nenhuma Renda,368.0,409.6,457.8,467.9,620.0,CE,IBARETAMA,2305266
